UserMail,ExperimentNo,SampleNo,ModNo,O,C,E,A,N,TimeSeconds,CheckBoxes,FileName
0,11,11,0,-1,0,-1,-1,1,18,0,247
0,11,23,0,1,-2,3,2,0,31,0,287
0,11,24,0,1,1,2,1,-1,21,0,289
0,11,33,0,1,-1,3,3,-1,25,0,306
0,11,38,0,1,1,-1,1,-1,31,0,314
0,11,39,0,-1,0,-2,0,3,25,0,316
0,11,68,0,-1,0,-1,-3,2,55,0,651
0,11,80,0,-1,0,-3,0,3,20,0,896
0,11,94,0,1,-1,1,1,0,45,0,1255
0,11,96,0,0,1,1,1,-1,16,0,1269
1,11,7,0,1,2,3,2,1,44,0,234
1,11,13,0,-1,3,2,-1,-1,27,0,259
1,11,19,0,2,1,1,2,1,53,0,276
1,11,23,0,2,-1,3,1,1,31,0,287
1,11,49,0,-1,-1,-1,-1,2,22,0,335
1,11,62,0,-2,1,1,-3,3,28,0,604
1,11,80,0,-2,1,-3,1,3,28,0,896
1,11,84,0,-1,2,-1,-2,1,26,0,1117
1,11,92,0,-2,3,3,-1,-2,17,0,1250
1,11,95,0,2,2,1,-2,-2,31,0,1259
2,11,10,0,-1,-1,2,-1,2,15,0,245
2,11,13,0,-1,2,2,1,1,14,0,259
2,11,16,0,3,2,2,2,-2,18,0,265
2,11,42,0,2,2,-2,2,-2,15,0,324
2,11,50,0,2,2,3,3,-2,12,0,336
2,11,66,0,1,-2,3,-1,3,41,0,642
2,11,67,0,1,-2,3,-3,3,13,0,648
2,11,75,0,-2,2,-3,-1,-1,9,0,858
2,11,80,0,-2,-1,-3,-2,2,13,0,896
2,11,90,0,-1,1,-3,1,-2,17,0,1225
3,11,12,0,2,2,1,-1,1,36,0,258
3,11,20,0,1,-1,1,1,-1,16,0,280
3,11,22,0,-1,2,2,1,-1,12,0,284
3,11,31,0,1,-2,1,-1,2,16,0,304
3,11,46,0,1,1,3,1,2,10,0,329
3,11,51,0,-1,-1,1,-1,1,16,0,337
3,11,63,0,2,1,-1,-2,1,28,0,621
3,11,80,0,2,2,2,1,2,10,0,896
3,11,89,0,-3,-2,-3,-2,-2,14,0,1222
3,11,94,0,-2,-2,-1,-1,-2,15,0,1255
4,11,1,0,2,2,0,1,-2,20,0,2
4,11,8,0,1,-1,1,1,-1,27,0,239
4,11,21,0,1,1,2,0,0,27,0,281
4,11,36,0,1,-1,2,2,-1,85,0,311
4,11,41,0,2,2,-1,1,-2,37,0,323
4,11,75,0,0,1,-1,0,-2,23,0,858
4,11,81,0,0,-1,-3,1,3,21,0,898
4,11,84,0,-1,1,-1,-1,1,24,0,1117
4,11,89,0,-1,-1,-2,0,1,27,0,1222
4,11,95,0,1,2,-2,2,0,23,0,1259
5,11,30,0,0,0,1,1,-1,12,0,303
5,11,38,0,1,0,1,0,1,30,0,314
5,11,53,0,0,-1,1,1,-1,19,0,339
5,11,55,0,0,0,-1,0,-1,27,0,352
5,11,68,0,-1,0,1,-3,2,33,0,651
5,11,69,0,0,-1,2,-3,2,21,0,661
5,11,72,0,0,0,-1,1,0,18,0,805
5,11,88,0,-2,0,-1,0,1,25,0,1206
5,11,91,0,0,0,2,1,-2,22,0,1239
5,11,98,0,2,0,2,2,-1,28,0,1276
6,11,13,0,3,-1,3,0,-2,26,0,259
6,11,14,0,3,0,3,-1,0,29,0,260
6,11,29,0,3,0,2,1,0,27,0,301
6,11,43,0,3,0,3,0,-1,11,0,325
6,11,51,0,1,2,-1,2,-2,25,0,337
6,11,60,0,0,3,-2,-1,-3,17,0,561
6,11,62,0,0,0,1,-3,0,23,0,604
6,11,78,0,-2,1,-2,2,-2,32,0,884
6,11,83,0,-2,-2,-2,0,2,44,0,1103
6,11,86,0,-2,0,-1,1,2,17,0,1140
7,11,5,0,3,3,3,3,3,24,0,232
7,11,29,0,3,3,3,3,3,14,0,301
7,11,33,0,3,3,3,3,3,14,0,306
7,11,48,0,3,3,3,3,3,12,0,333
7,11,58,0,3,3,3,3,3,11,0,365
7,11,64,0,1,1,3,3,2,13,0,629
7,11,68,0,3,3,2,2,1,14,0,651
7,11,81,0,-3,-2,-3,-2,-3,40,0,898
7,11,85,0,-3,-3,-3,-3,-3,15,0,1139
7,11,93,0,-3,-3,-3,-3,-3,8,0,1251
8,11,7,0,2,0,3,3,1,21,0,234
8,11,9,0,1,1,1,1,-2,26,0,240
8,11,11,0,1,-1,2,0,2,37,0,247
8,11,19,0,3,0,3,2,1,37,0,276
8,11,29,0,1,1,3,3,-1,22,0,301
8,11,34,0,1,-1,3,2,1,21,0,307
8,11,52,0,1,-1,3,1,0,32,0,338
8,11,70,0,0,-2,1,-1,2,32,0,662
8,11,79,0,-1,-1,-2,-1,1,22,0,888
8,11,87,0,0,-1,-1,-1,1,47,0,1162
9,11,0,0,1,2,-2,3,-3,67,0,0
9,11,6,0,0,0,0,0,0,0,0,233
9,11,7,0,3,2,3,3,-3,13,0,234
9,11,14,0,3,2,3,2,-2,32,0,260
9,11,21,0,3,3,3,3,-3,17,0,281
9,11,53,0,3,2,3,3,-2,20,0,339
9,11,66,0,-1,-1,3,-3,3,56,0,642
9,11,71,0,-2,-3,3,-3,3,22,0,678
9,11,72,0,3,2,3,3,-2,31,0,805
9,11,92,0,3,-1,3,-1,2,27,0,1250
10,11,9,0,-1,1,1,0,-1,18,0,240
10,11,10,0,0,2,3,2,-1,14,0,245
10,11,43,0,0,1,2,1,0,13,0,325
10,11,47,0,2,2,1,1,-1,22,0,331
10,11,52,0,1,1,1,0,1,23,0,338
10,11,62,0,0,-1,3,-2,1,34,0,604
10,11,74,0,-1,0,-3,2,2,17,0,857
10,11,75,0,1,2,0,1,-1,17,0,858
10,11,87,0,0,0,-3,0,1,16,0,1162
10,11,98,0,-3,1,3,-1,-2,22,0,1276
11,11,3,0,1,2,-3,-2,-2,24,0,207
11,11,33,0,2,-2,3,2,0,37,0,306
11,11,34,0,1,-1,2,1,1,24,0,307
11,11,36,0,3,-2,2,-2,2,19,0,311
11,11,37,0,1,2,-1,2,1,26,0,313
11,11,43,0,1,1,1,1,-1,18,0,325
11,11,51,0,1,1,2,1,-1,20,0,337
11,11,57,0,1,2,-2,2,-2,22,0,364
11,11,65,0,-1,-1,2,-2,-2,20,0,631
11,11,94,0,-1,-1,-1,-2,2,20,0,1255
12,11,0,0,-3,1,-3,1,-3,22,0,0
12,11,6,0,1,2,2,-2,1,47,0,233
12,11,9,0,-2,2,-1,3,-3,25,0,240
12,11,25,0,3,1,3,3,-3,21,0,290
12,11,48,0,2,-1,3,1,-3,27,0,333
12,11,50,0,3,-2,3,2,2,20,0,336
12,11,65,0,-3,-3,3,-3,3,16,0,631
12,11,66,0,-1,-1,-1,-1,3,30,0,642
12,11,67,0,2,-2,3,-3,2,43,0,648
12,11,72,0,-1,2,-3,3,-2,24,0,805
13,11,1,0,-1,1,3,-2,-1,32,0,2
13,11,14,0,2,2,3,-3,3,21,0,260
13,11,25,0,-3,0,3,2,2,10,0,290
13,11,40,0,1,3,3,-2,-1,16,0,318
13,11,54,0,1,-3,3,-3,3,12,0,340
13,11,75,0,-2,-2,2,-2,3,20,0,858
13,11,78,0,2,-1,3,-3,1,17,0,884
13,11,84,0,-2,-1,3,-3,1,20,0,1117
13,11,86,0,-2,-2,3,1,2,44,0,1140
13,11,94,0,-1,-1,3,1,1,24,0,1255
14,11,25,0,1,-1,3,1,1,20,0,290
14,11,29,0,1,1,-1,-1,-1,42,0,301
14,11,44,0,1,-1,3,1,1,17,0,326
14,11,47,0,1,1,3,1,-1,22,0,331
14,11,50,0,2,-1,3,3,1,26,0,336
14,11,60,0,-1,3,-3,1,-3,18,0,561
14,11,64,0,-1,-2,3,-3,3,16,0,629
14,11,67,0,-2,1,2,-3,2,22,0,648
14,11,76,0,-1,2,-3,-1,-1,22,0,861
14,11,80,0,-3,1,-3,-1,3,21,0,896
15,11,15,0,3,-2,3,-3,2,11,0,263
15,11,37,0,-3,-3,-3,-3,3,12,0,313
15,11,45,0,1,-2,-2,2,3,35,0,327
15,11,55,0,1,-2,-2,-1,2,12,0,352
15,11,56,0,-2,-2,2,1,2,12,0,359
15,11,65,0,2,-2,1,3,2,17,0,631
15,11,82,0,-3,-2,-2,3,3,40,0,926
15,11,94,0,-2,3,2,2,-2,11,0,1255
15,11,95,0,-2,3,3,0,-2,14,0,1259
15,11,97,0,2,3,3,-1,-2,28,0,1272
16,11,16,0,3,-1,3,1,1,18,0,265
16,11,24,0,2,-1,3,-1,1,12,0,289
16,11,35,0,2,1,3,1,0,11,0,308
16,11,36,0,2,-1,3,-1,1,9,0,311
16,11,52,0,2,-2,2,-2,2,11,0,338
